date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,报告日,净利润,营业利润,利润总额,应收账款,存货,资产总计,负债合计,经营活动产生的现金流量净额,投资活动产生的现金流量净额,筹资活动产生的现金流量净额,现金及现金等价物净增加额,实际披露日,stock_status,营业总收入,营业总成本,营业成本,所得税费用,归属于母公司所有者的净利润,货币资金,流动资产合计,非流动资产合计,流动负债合计,非流动负债合计,所有者权益(或股东权益)合计,流通股本,流通市值
2010-01-04,sz.000040,7.2,7.21,7.04,7.04,7.18,3234080.0,22928676.45,3,0.88368,1,-1.9499,-42.339119,4.189512,7.457092,501.455263,0,2009-09-30,-30472202.89,-29466532.01,-30064014.46,5763691.44,1214132337.57,2710513700.91,1800819932.42,70017828.43,16625301.24,17081433.69,103696062.54,2009-12-30,退市票,359682854.37,414750897.92,238294242.21,408188.43,-19557418.12,236297451.26,1723091688.9,987422012.01,1259649246.62,541170685.8,909693768.49,365978634.79992753,2576489588.99149
2010-01-04,sz.000042,22.58,22.58,21.51,21.65,22.33,2512032.0,55081212.07,3,1.049762,1,-3.0452,22.309055,2.660682,2.316037,3.330691,0,2009-09-30,165458600.37,240520012.4,239444300.55,42311508.16,3351861276.78,6346776024.03,4395344733.2,708782904.48,574099204.97,82662787.13,1365527401.86,2009-12-30,正常票,1470364897.38,1216252020.55,890663824.08,73985700.18,165135580.9,1729666700.1,5170440950.66,1176335073.37,2459234288.25,1936110444.95,1951431290.83,239295383.14398882,5180745045.067358
2010-01-04,sz.000045,13.9,14.5,13.56,14.34,13.76,5040715.0,70738974.64,3,2.577363,1,4.2151,77.675693,7.391073,8.676546,193.628985,0,2009-09-30,38303135.9,44048202.07,44883912.01,49358394.63,39881106.62,713575504.17,237991244.45,33380103.72,-16018665.57,-2730817.52,14830360.06,2009-12-30,正常票,314130345.51,296130742.09,255286253.02,6580776.11,38303135.9,98853285.24,215907735.88,497667768.29,189336981.81,48654262.64,475584259.72,195576447.71031475,2804566260.1659136
2010-01-04,sz.000046,14.33,14.44,13.79,13.84,14.33,8930323.0,124823355.34,3,2.00899,1,-3.4194,143.98482,3.776865,19.516783,13.03574,0,2009-09-30,208198495.39,369186172.97,358899352.79,42396670.63,15286923463.33,21458046895.72,12704179828.74,92077561.89,-5122429.82,1476603053.01,1563561553.17,2009-12-30,退市票,1362939125.46,993752952.49,679193589.0,150700857.4,217182247.74,3127129326.18,21236210002.2,221836893.52,7183298878.52,5520880950.22,8753867066.98,444518041.4038896,6152129693.029832
2010-01-04,sz.000048,4.99,5.08,4.93,5.02,4.95,3830639.0,19214893.37,3,1.008468,1,1.4141,54.90379,-11.699848,1.692337,20.441944,1,2009-09-30,-6092042.18,-2242315.75,-823689.58,26782814.82,511421353.99,1332977122.18,1434686337.92,220945232.59,-20344935.41,-187457297.22,13135205.88,2009-12-30,正常票,705308404.85,709752144.64,622851996.32,5268352.6,-9459896.71,167929675.97,800588386.2,532388735.98,1323654166.95,111032170.97,-101709215.74,379847352.61803055,1906833710.1425133
2010-01-04,sz.000049,10.85,10.88,10.66,10.73,10.69,2692891.0,29013373.93,3,3.776611,1,0.3742,-34.67077,13.102957,1.91173,217.174249,0,2009-09-30,-46624133.42,-38825513.02,-41852304.94,285293294.24,90699578.56,631011997.83,470536992.22,-56229090.2,-12654999.01,58065218.36,-11053545.27,2009-12-30,正常票,596147866.17,635175005.68,537690624.56,4771828.48,-39856695.5,57214772.71,473200593.82,157811404.01,470536992.22,,160475005.61,71304431.40688835,765096548.9959121
2010-01-04,sz.000050,6.65,6.82,6.56,6.75,6.65,12441443.0,83404552.17,3,3.985248,1,1.5038,-25.660051,3.149327,2.019402,9.059417,0,2009-09-30,-213918424.77,-241677381.35,-238111948.58,365549767.56,302897877.91,5779630117.78,3836949036.34,294444229.57,-467076312.62,727363970.0,554731886.95,2009-12-30,正常票,1582234481.26,1809956052.17,1539537001.5,-24193523.81,-120648111.71,867015615.05,1599170244.15,4180459873.63,1323408105.79,2513540930.55,1942681081.44,312187422.213122,2107265099.9385736
2010-01-04,sz.000055,9.7,10.35,9.69,10.06,9.72,14166816.0,141992025.39,3,6.516298,1,3.4979,98.380289,7.238059,5.205607,55.522311,0,2009-09-30,33010325.01,31766652.96,33114426.0,315394744.88,175647925.52,1442126684.62,735785207.45,9813490.56,10427906.17,60855551.05,81075496.17,2009-12-30,正常票,601972120.76,590649857.92,492555505.92,104100.99,37452964.05,228228391.94,792026938.96,650099745.66,729505289.54,6279917.91,706341477.17,217405895.18772778,2187103305.5885415
2010-01-04,sz.000056,10.05,10.28,9.97,9.98,10.09,5860084.0,59031289.65,3,4.928904,1,-1.0902,-138.802199,9.670311,75.343527,-26.747275,0,2009-09-30,2452799.7,-13915272.09,2443371.72,822876.08,1321099376.57,1424942331.31,1273860935.02,-43738336.66,8281479.6,-10085535.38,-45542392.44,2009-12-30,正常票,13105582.18,27770854.27,11830885.33,-9427.98,9113934.35,22872491.62,1350286265.83,74656065.48,822823887.34,451037047.68,151081396.29,118892232.4313884,1186544479.6652563
2010-01-04,sz.000058,6.7,7.0,6.64,6.7,6.72,26981103.0,183689003.42,3,5.012259,1,-0.2976,-30.82733,4.651404,17.524779,117.148281,0,2009-09-30,-177115850.18,-151324134.55,-149453032.86,19451902.18,2333011.89,1482483593.9,258223615.46,53732623.69,40771358.89,-23183783.16,71322265.39,2009-12-30,正常票,207531519.48,153332297.18,124263257.75,27662817.32,-179367562.66,471494324.48,547333491.75,935150102.15,232308402.14,25915213.32,1224259978.44,538302250.5421208,3606625078.63221
2010-01-04,sz.000059,11.65,11.92,11.65,11.84,11.62,12917652.0,152210419.32,3,1.309808,1,1.8933,57.34291,2.2713,4.820834,-2.686376,0,2009-09-30,245615589.9,284906880.37,282338976.67,23710651.18,1706525153.85,18746523821.39,12488434724.84,186662866.86,-3733321713.35,280668513.9,-3265990332.59,2009-12-30,正常票,2267606657.18,1982699776.81,1460833245.03,36723386.77,245615589.9,1324511477.47,7450019153.72,11296504667.67,3811795988.61,8676638736.23,6258089096.55,986224851.275912,11676902239.106798
2010-01-04,sz.000060,28.01,28.85,27.71,28.2,27.9,17743104.0,504655869.82,3,1.734981,1,1.0753,-142.448279,7.60891,4.368679,-233.846212,0,2009-09-30,234985742.49,333169896.25,335254245.14,272516055.52,2498631919.29,10444278067.72,6039794104.39,195112041.08,-1017510946.79,1039357185.73,261819665.71,2009-12-30,正常票,5040947838.29,4702532247.56,4010609297.91,100268502.65,210959999.84,1215977392.13,4729042769.81,5715235297.91,4043257543.14,1996536561.25,4404483963.33,1022668490.3177614,28839251426.960873
2010-01-04,sz.000061,14.19,14.67,13.9,14.02,13.88,42062104.0,602485389.41,3,8.808344,1,1.0086,89.519219,3.664534,5.617899,-13.488896,0,2009-09-30,203087807.03,218553317.69,246066487.71,52814194.06,81506664.49,6364443264.92,2806822149.72,240320752.46,-101881321.88,-302737982.69,-164298620.03,2009-12-30,正常票,886337615.36,806535030.45,412050013.13,42978680.68,156100819.27,1396918045.66,2267611711.25,4096831553.67,2087257114.23,719565035.49,3557621115.2,477525673.3842366,6694909940.846996
2010-01-04,sz.000062,10.22,10.25,10.06,10.1,10.17,1768485.0,17900945.58,3,1.059686,1,-0.6883,257.814142,4.96835,4.514563,29.309325,0,2009-09-30,48066361.31,69534166.11,72058944.23,243717978.42,219946819.35,2255513400.63,860418345.15,370181223.75,11831599.53,-481689852.98,-99758512.67,2009-12-30,正常票,1438508794.17,1372984965.03,1142871225.34,23992582.92,41993595.6,624911290.6,1327883512.09,927629888.54,851982239.52,8436105.63,1395095055.48,166887644.0756979,1685565205.1645486
2010-01-04,sz.000063,45.04,45.5,44.21,45.4,44.87,11721358.0,528042354.62,3,0.798783,1,1.1812,40.826473,5.411769,1.463533,28.83985,0,2009-09-30,1319730000.0,985156000.0,1814153000.0,16283185000.0,10896054000.0,59692574000.0,43331217000.0,-3536009000.0,-1037498000.0,1161066000.0,-3400323000.0,2009-12-30,正常票,42843475000.0,41873317000.0,28731931000.0,494423000.0,1192015000.0,8295245000.0,50140149000.0,9552425000.0,35333613000.0,7997604000.0,16361357000.0,1467402035.3462706,66620052404.72068
2010-01-04,sz.000065,28.18,28.89,27.9,28.8,28.17,1177103.0,33474260.45,3,0.724651,1,2.2364,73.574866,11.092301,2.976045,36.343582,0,2009-09-30,20896544.45,28369909.81,28104933.03,350271685.76,493695798.54,2683940935.85,2172045408.98,116875158.51,41752281.94,-19753750.3,138621117.45,2009-12-30,正常票,997711090.66,992791269.09,921291921.25,7208388.58,28929734.64,397625899.8,1819833824.41,864107111.44,1686671677.23,485373731.75,511895526.87,162437228.40374193,4678192178.027767
2010-01-04,sz.000066,16.15,16.46,15.9,16.23,16.1,5684549.0,92002543.74,3,1.033407,1,0.8075,49.676401,4.625563,2.230213,-97.555417,0,2009-09-30,204327866.49,107301629.58,203760092.65,437024203.1,321836445.31,4475802744.99,2545317655.53,-82061942.77,-390429846.71,413916281.4,-54167776.13,2009-12-30,正常票,3193499927.97,3192307623.97,2942994857.54,-567773.84,204327866.49,526855938.25,1512386761.52,2963415983.47,2524891634.99,20426020.54,1930485089.46,550078429.8925787,8927772917.156553
2010-01-04,sz.000068,8.05,8.18,8.0,8.06,8.02,15283742.0,123932606.14,3,3.222037,1,0.4988,-5.472539,10.391848,8.179934,255.151014,0,2009-09-30,-1324210493.26,-1345772958.67,-1322160863.61,71052842.11,48352896.42,1431643402.01,736177873.18,232429479.15,-1375032.39,-287428724.2,-56374277.44,2009-12-30,正常票,475036778.83,1820809737.5,416319414.39,2049629.65,-1324210493.26,124967838.46,303690645.4,1127952756.61,336177873.18,400000000.0,695465528.83,474350294.5496902,3823263374.070503
