date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2010-06-08,sh.600068,10.9800,11.0700,10.7900,10.9700,10.8500,12480918,136541964.0000,3,0.863504,1,1.106000,18.334525,2.615884,0.894590,34.948207,0
2010-06-09,sh.600068,10.9700,11.2400,10.9100,11.1900,10.9700,17080877,189442645.0000,3,1.181756,1,2.005463,18.702218,2.668345,0.912531,35.649083,0
2010-06-10,sh.600068,11.1500,11.3000,11.0400,11.1900,11.1900,15898047,177675814.0000,3,1.099921,1,0.000000,18.702218,2.668345,0.912531,35.649083,0
2010-06-11,sh.600068,11.2700,11.3300,11.1000,11.2700,11.1900,17560487,196877690.0000,3,1.214938,1,0.714900,18.835925,2.687421,0.919054,35.903946,0
2010-06-17,sh.600068,11.3200,11.3600,11.1900,11.2700,11.2700,10604911,119574148.0000,3,0.733711,1,0.000000,18.835925,2.687421,0.919054,35.903946,0
2010-06-18,sh.600068,11.2700,11.2700,11.2700,11.2700,11.2700,0,0.0000,3,,0,0.000000,18.835925,2.687421,0.919054,35.903946,0
2010-06-21,sh.600068,11.0000,11.6000,10.9000,11.5800,11.2700,29075539,327680563.0000,3,2.011618,1,2.750700,19.354038,2.761343,0.944335,36.891544,0
2010-06-22,sh.600068,11.5700,12.0800,11.4600,11.8900,11.5800,34602936,410536135.0000,3,2.394036,1,2.677000,19.872151,2.835265,0.969615,37.879141,0
2010-06-23,sh.600068,11.8500,12.1000,11.6300,11.8700,11.8900,27274174,324714062.0000,3,1.886989,1,-0.168200,19.838725,2.830496,0.967984,37.815425,0
2010-06-24,sh.600068,11.9000,11.9300,11.6700,11.8500,11.8700,10536644,124175597.0000,3,0.728987,1,-0.168500,19.805298,2.825727,0.966353,37.751709,0
2010-06-25,sh.600068,11.7800,11.8100,11.5000,11.6800,11.8500,10765722,125244217.0000,3,0.744836,1,-1.434600,19.521171,2.785189,0.952489,37.210124,0
2010-06-28,sh.600068,11.6700,11.7400,11.3000,11.3800,11.6800,10902443,125255092.0000,3,0.754296,1,-2.568500,19.019771,2.713652,0.928025,36.254384,0
2010-06-29,sh.600068,11.3800,11.4900,10.6500,10.7000,11.3800,17237846,189814749.0000,3,1.192616,1,-5.975400,17.883265,2.551500,0.872572,34.088041,0
2010-06-30,sh.600068,10.5600,10.6500,10.2800,10.4300,10.7000,13291340,138767073.0000,3,0.919574,1,-2.523400,17.432005,2.487117,0.850554,33.227876,0
2010-07-01,sh.600068,10.5000,10.6400,10.2500,10.2800,10.4300,10369246,108160481.0000,3,0.717406,1,-1.438200,17.181305,2.451348,0.838321,32.750006,0
2010-07-02,sh.600068,10.3000,10.4800,9.9900,10.3600,10.2800,20589603,209273573.0000,3,1.424511,1,0.778200,17.315012,2.470425,0.844845,33.004870,0
2010-07-05,sh.600068,10.2500,10.5800,10.0600,10.4100,10.3600,15411854,158958047.0000,3,1.066283,1,0.482600,17.398578,2.482347,0.848923,33.164160,0
2010-07-06,sh.600068,10.3800,10.7900,10.3800,10.6600,10.4100,11422754,121327825.0000,3,0.790294,1,2.401500,17.816412,2.541962,0.869310,33.960609,0
2010-07-07,sh.600068,10.7000,11.1000,10.6200,10.9200,10.6600,15913596,174147020.0000,3,1.100997,1,2.439000,18.250958,2.603961,0.890512,34.788917,0
2010-07-08,sh.600068,10.9900,11.0200,10.7700,10.9300,10.9200,7479247,81314625.0000,3,0.517459,1,0.091600,18.267672,2.606346,0.891328,34.820775,0
