报告日,营业总收入,营业收入,利息收入,已赚保费,手续费及佣金收入,房地产销售收入,其他业务收入,营业总成本,营业成本,手续费及佣金支出,房地产销售成本,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,其他业务成本,营业税金及附加,研发费用,销售费用,管理费用,财务费用,利息费用,利息支出,投资收益,对联营企业和合营企业的投资收益,以摊余成本计量的金融资产终止确认产生的收益,汇兑收益,净敞口套期收益,公允价值变动收益,期货损益,托管收益,补贴收入,其他收益,资产减值损失,信用减值损失,其他业务利润,资产处置收益,营业利润,营业外收入,非流动资产处置利得,营业外支出,非流动资产处置损失,利润总额,所得税费用,未确认投资损失,净利润,持续经营净利润,终止经营净利润,归属于母公司所有者的净利润,被合并方在合并前实现净利润,少数股东损益,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划变动额,权益法下不能转损益的其他综合收益,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下可转损益的其他综合收益,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20200630,137663036.1,137663036.1,,,,,,112672428.64,92679500.2,,,,,,,,,2131494.95,4221791.21,8873438.57,5629488.79,-863285.08,,,150547.94,,,,,,,,,1382362.29,-215569.04,-1011237.58,,,25296711.07,8000.0,,114088.26,,25190622.81,3185044.34,,22005578.47,22005578.47,,21954986.21,,50592.26,,,,,,,,,,,,,,,,,,,,22005578.47,21954986.21,50592.26,0.37,0.37,定期报告,是,20200724,CNY,合并期末,2020-07-24T20:02:02
20191231,292922011.08,292922011.08,,,,,,248884785.88,197560596.89,,,,,,,,,3688768.24,13084668.71,20913620.03,13622921.82,14210.19,,,,,,,,,,,,7912840.91,-619738.46,-868320.64,,-29820.03,50432186.98,115001.16,,38682.58,,50508505.56,5695917.6,,44812587.96,44812587.96,,44879093.71,,-66505.75,,,,,,,,,,,,,,,,,,,,44812587.96,44879093.71,-66505.75,0.75,0.75,定期报告,是,20200430,CNY,合并期末,2020-04-30T19:32:03
20190630,132002779.37,132002779.37,,,,,,116754363.55,92538057.08,,,,,,,,,1960879.69,6225646.12,9465130.73,5917797.18,139979.28,0.0,,0.0,,,,,,,,,1657145.34,,,,0.0,16905561.16,73114.2,,32472.55,,16946202.81,1616598.61,,15329604.2,15329604.2,,15377359.93,,-47755.73,,,,,,,,,,,,,,,,,,,,15329604.2,15377359.93,-47755.73,0.256,0.256,定期报告,未审计,20190827,CNY,合并期末,2020-03-13T16:00:40
20181231,272742005.71,272742005.71,,,,,,239049971.73,192193257.82,,,,,,,,,3969109.31,11307524.38,20128123.82,11635362.13,-174108.82,197796.69,,281773.97,,,0.0,,,,,,1939320.39,,,,193062.65,36106190.99,5426.0,,16488.45,,36095128.54,4292599.99,,31802528.55,31802528.55,,31907525.29,,-104996.74,,,,,,,,,,,,,,,,,,,,31802528.55,31907525.29,-104996.74,0.5313,0.5313,定期报告,是,20190328,CNY,合并期末,2020-03-13T16:00:40
20180630,131000134.34,131000134.34,0.0,,,,,118927808.45,95429256.13,,,,,,,,,2644707.98,4665767.09,9569413.78,5771248.75,869742.12,,0.0,179267.12,0.0,,,,0.0,,,,847583.34,,,,184510.06,13283686.41,8919.65,,0.0,,13292606.06,1843562.96,,11449043.1,11449043.1,0.0,11510022.7,0.0,-60979.6,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,0.0,0.0,0.0,11449043.1,11510022.7,-60979.6,0.1916,0.1916,定期报告,未审计,20180824,CNY,合并期末,2020-03-13T16:00:40
20171231,275486548.12,275486548.12,,,,,,249816086.67,197907106.5,,,,,,,,,4864661.5,,20232471.14,24881957.46,1521072.13,,,127380.83,,,,,,,,,2835676.67,,,,-381187.85,28252331.1,9788.32,,10400.0,,28251719.42,3977789.94,,24273929.48,24273929.48,,24428105.39,,-154175.91,,,,,,,,,,,,,,,,,,,,24273929.48,24428105.39,-154175.91,0.4067,0.4067,定期报告,是,20180423,CNY,合并期末,2020-03-13T16:00:40
20170630,132290388.39,132290388.39,,,,,,117508236.15,93872025.15,,,,,,,,,2211627.31,,9695514.16,11300361.47,272440.74,,,,,,,,,,,,149728.33,,,,,14931880.57,1036288.32,,391587.85,381187.85,15576581.04,2229967.86,,13346613.18,,,13423521.77,,-76908.59,,,,,,,,,,,,,,,,,,,,13346613.18,13423521.77,-76908.59,0.2235,0.2235,定期报告,未审计,20170816,CNY,合并期末,2020-03-13T16:00:40
20161231,249554811.97,249554811.97,,,,,,211588378.56,167469960.92,,,,,,,,,3093805.25,,19152467.6,21824184.2,249855.97,,,583973.5,583973.5,,,,,,,,,,,,,38550406.91,2339979.4,,592054.08,582054.08,40298332.23,5495996.43,,34802335.8,,,34925457.79,24330.27,-123121.99,,,,,,,,,,,,,,,,,,,,34802335.8,34925457.79,-123121.99,0.6696,0.6696,其他,是,20170427,CNY,合并期末,2020-03-13T16:00:40
20160630,117805332.23,117805332.23,,,,,,100692660.9,81818164.2,,,,,,,,,707542.54,,9101759.01,9491214.61,-394685.13,,,-565269.9,-565269.9,,,,,,,,,,,,,16547401.43,2403501.75,,92179.1,82179.1,18858724.08,2747871.72,,16110852.36,,,16167816.41,,-56964.05,,,,,,,,,,,,,,,,,,,,16110852.36,16167816.41,-56964.05,0.32,0.32,定期报告,未审计,20160805,CNY,合并期末,2020-03-13T16:00:40
20151231,229750454.9,229750454.9,,,,,,206885201.05,163401653.45,,,,,,,,,2192647.48,,16666065.38,23200899.55,1101480.8,,,-583973.5,,,,,,,,,,,,,,22281280.35,2415674.12,,46086.86,,24650867.61,3409376.61,,21241491.0,,,21284705.9,,-43214.9,,,,,,,,,,,,,,,,,,,,21241491.0,21284705.9,-43214.9,0.46,0.46,更正或补充,是,20170427,CNY,合并期末,2020-03-13T16:00:40
20150630,104185559.31,104185559.31,,,,,,94958835.97,73207677.91,,,,,,,,,1225152.54,,9521518.5,9599230.44,1343011.9,,,,,,,,,,,,,,,,,9226723.34,1318639.98,,18.85,,10545344.47,1137041.78,,9408302.69,,,9408302.69,,,,,,,,,,,,,,,,,,,,,,9408302.69,9408302.69,,0.21,0.21,定期报告,未审计,20150811,CNY,合并期末,2020-03-13T16:00:40
20141231,215813035.57,215813035.57,,,,,,196530012.67,155868922.79,,,,,,,,,1060638.83,,14470782.6,20814306.74,4106411.48,,,,,,,,,,,,,,,,,19283022.9,1720257.5,,995344.46,726560.81,20007935.94,2677978.59,,17329957.35,,,17316778.43,,13178.92,,,,,,,,,,,,,,,,,,,,17329957.35,17316778.43,13178.92,0.38,0.38,定期报告,是,20150421,CNY,合并期末,2020-03-13T16:00:40
20131231,154685643.22,154685643.22,,,,,,146897115.33,112982591.18,,,,,,,,,796226.76,,11420265.29,17754495.5,3535443.92,,,,,,,,,,,,,,,,,7788527.89,1378569.0,,52078.92,40854.0,9115017.97,727073.55,,8387944.42,,,8355423.2,,32521.22,,,,,,,,,,,,,,,,,,,,8387944.42,8355423.2,32521.22,,,招股说明书/意向书,是,20150129,CNY,合并期末,2020-03-13T16:00:40
20121231,126432455.22,126432455.22,,,,,,119427513.7,90422154.12,,,,,,,,,642105.16,,10376756.0,15434811.37,2062122.35,,,,,,,,,,,,,,,,,7004941.52,536867.0,,7329.64,,7534478.88,451869.13,,7082609.75,,,7007430.65,,75179.1,,,,,,,,,,,,,,,,,,,,7082609.75,7007430.65,75179.1,,,招股说明书/意向书,是,20150129,CNY,合并期末,2020-03-13T16:00:40
